id;youtube_url;artist;title;year
171;https://music.youtube.com/watch?v=bePCRKGUwAY;Iron Maiden;Fear of the Dark (2015 Remaster);1992
172;https://music.youtube.com/watch?v=P16Ab8X-rdk;Herman Brood;Saturday Night;1978
173;https://music.youtube.com/watch?v=Y1fiOJDXA-E;Freddie Mercury & Montserrat Caballé;Barcelona (Original David Mallet Video 1987 Remastered);2020
174;https://music.youtube.com/watch?v=0put0_a--Ng;Adele;Make You Feel My Love;2008
175;https://music.youtube.com/watch?v=KLVq0IAzh1A;Sting;Fields Of Gold;1993
176;https://music.youtube.com/watch?v=2H0yWKdZM8g;André Hazes;Leef (Officiële Video);2020
177;https://music.youtube.com/watch?v=NvR60Wg9R7Q;Bon Jovi;Bed Of Roses;1992
178;https://music.youtube.com/watch?v=5rOiW_xY-kc;R.E.M.;Everybody Hurts;1992
179;https://music.youtube.com/watch?v=iyIOl-s7JTU;ABBA;The Winner Takes It All (1980) HD 0815007;2020
180;https://music.youtube.com/watch?v=y8AWFf7EAc4;Jeff Buckley;Hallelujah;1994
181;https://music.youtube.com/watch?v=gGdGFtwCNBE;The Killers;Mr. Brightside;2004
182;https://music.youtube.com/watch?v=LCJblaUkkfc;Radiohead;Street Spirit (Fade Out);1995
183;https://music.youtube.com/watch?v=xeXqtzusIU0;Creedence Clearwater Revival;I Put A Spell On You;1968
184;https://music.youtube.com/watch?v=ftjEcrrf7r0;U2;One;1991
185;https://music.youtube.com/watch?v=pgmv1mnaRaA;Frank Boeijen;Kronenburg Park;1985
186;https://music.youtube.com/watch?v=GmK5_lnQUbE;Neil Diamond;Sweet Caroline;1969
187;https://music.youtube.com/watch?v=sOnqjkJTMaA;Michael Jackson;Thriller;1982
188;https://music.youtube.com/watch?v=VJDJs9dumZI;The Beatles;While My Guitar Gently Weeps;1968
189;https://music.youtube.com/watch?v=zxSTzSEiZ2c;The Rose;by Bette Midler + lyrics;2020
190;https://music.youtube.com/watch?v=53N99Nim6WE;Pink Floyd;Echoes;1971
191;https://music.youtube.com/watch?v=TLV4_xaYynY;The Jimi Hendrix Experience;All Along The Watchtower;1968
192;https://music.youtube.com/watch?v=LCdltGg4EzM;U2;Bad (Remastered 2009);1984
193;https://music.youtube.com/watch?v=KU4mrTwWafE;boudewijndegroot247;Boudewijn de groot testament;2020
194;https://music.youtube.com/watch?v=f8OHybVhQwc;Guns N' Roses;Knockin' On Heaven's Door;1991
195;https://music.youtube.com/watch?v=Vp1LbP-6CRY;The Amazing Stroopwafels;Oude Maasweg;1988
196;https://music.youtube.com/watch?v=kLg9rX5MCCA;Simple Minds;Don't You;2025
