id;youtube_url;artist;title;year
121;https://music.youtube.com/watch?v=7fXaC07X5M8;Neil Young;Heart of Gold;1972
122;https://music.youtube.com/watch?v=J3jrWVp2L7U;schubie2;The Beatles Strawberry Fields Forever;2013
123;https://music.youtube.com/watch?v=n2MtEsrcTTs;Neil Young;Harvest Moon;1992
124;https://music.youtube.com/watch?v=lwlogyj7nFE;Red Hot Chili Peppers;Under The Bridge;1991
125;https://music.youtube.com/watch?v=gj0Rz-uP4Mk;Elvis Presley;Jailhouse Rock;1997
126;https://music.youtube.com/watch?v=Zi_XLOBDo_Y;Michael Jackson;Billie Jean;1982
127;https://music.youtube.com/watch?v=KBX2dySWGew;Unknown Artist;Private video;2013
128;https://music.youtube.com/watch?v=WEFFFgz4skA;Stereophonics;Violins and Tambourines - Film;2013
129;https://music.youtube.com/watch?v=zvCBSSwgtg4;The Lumineers;Ho Hey;2012
130;https://music.youtube.com/watch?v=UHqQGzt9YuM;Unknown Artist;Private video;2013
131;https://music.youtube.com/watch?v=VbagcoetpGw;Stereophonics;In A Moment;2013
132;https://music.youtube.com/watch?v=v2AC41dglnM;AC/DC;Thunderstruck;1990
133;https://music.youtube.com/watch?v=hHRNSeuvzlM;Aerosmith lyrics;Dream On;2013
134;https://music.youtube.com/watch?v=rCBRcmWjJLc;Def Leppard;Pour some sugar on me;1987
135;https://music.youtube.com/watch?v=bolZLMHxy6c;Stereophonics;Could You Be The One?;2009
136;https://music.youtube.com/watch?v=Bj1AesMfIf8;Beatles;Here Comes The Sun;1969
137;https://music.youtube.com/watch?v=si9FLVOK8nQ;Stereophonics;I Wouldn't Believe Your Radio;1999
138;https://music.youtube.com/watch?v=OZ5q2ErFdiY;Unknown Artist;Private video;2013
139;https://music.youtube.com/watch?v=dh3bleXWaCk;Funkadelic;Maggot Brain;1971
140;https://music.youtube.com/watch?v=CIJTXSApX7s;Two Door Cinema Club;Do You Want It All;2010
141;https://music.youtube.com/watch?v=wC67vNY9Rcg;Time;Pink Floyd  1973, click more below.;2013
142;https://music.youtube.com/watch?v=02be792DtEA;Pink Floyd;The Wall - Good Bye Blue Sky;2013
143;https://music.youtube.com/watch?v=mk_V6R_pGfM;wish you were here;pink floyd- lyrics;2013
144;https://music.youtube.com/watch?v=R3rnxQBizoU;Gimme Shelter 1969;The Rolling Stone;2013
145;https://music.youtube.com/watch?v=wAWFcAfN3kc;Biffy Clyro;Opposite;2013
146;https://music.youtube.com/watch?v=2q9_ZEtuTR8;Stereophonics;Maybe Tomorrow;2003
147;https://music.youtube.com/watch?v=Gs069dndIYk;Earth, Wind & Fire;September;1978
148;https://music.youtube.com/watch?v=38Hia8JQQjs;Chic;Everybody Dance;1977
149;https://music.youtube.com/watch?v=AZQxH_8raCI;worldslover234;Spirit In The Sky Norman Greenbaum;2013
150;https://music.youtube.com/watch?v=n6P0SitRwy8;Nirvana;Heart-Shaped Box;1993
151;https://music.youtube.com/watch?v=qv96yJYhk3M;Nirvana;You Know You're Right (LP Version);2013
152;https://music.youtube.com/watch?v=9AEoUa0Hlso;KT Tunstall;Suddenly I See (Larger Than Life Version);2013
153;https://music.youtube.com/watch?v=iSOzE1DUwK8;Pink Floyd;The Dark Side of the Moon: Us and Them;2013
154;https://music.youtube.com/watch?v=An2a1_Do_fc;NEIL YOUNG;OLD MAN;1972
155;https://music.youtube.com/watch?v=5sUczEDeH04;Foals;Alabaster;2010
